2018/06/05 18:52:42 [error] 2465#0: *161304 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *161246 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *161561 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *161302 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *161547 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *161709 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *161568 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *161311 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *161250 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *161718 writev() failed (32: Broken pipe) while sending request to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *161353 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:43 [error] 2465#0: *161209 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:43 [error] 2465#0: *161728 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:43 [error] 2465#0: *161167 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
